,count,hate_speech,offensive_language,neither,class,tweet
0,3,0,0,3,2,rt woman complain cleaning house man always take trash
1,3,0,3,0,1,rt boy dat coldtyga dwn bad cuffin dat hoe st place
2,3,0,3,0,1,rt dawg rt ever fuck bitch start cry confused shit
3,3,0,2,1,1,rt look like tranny
4,6,0,6,0,1,rt shit hear might true might faker bitch told ya 
5,3,1,2,0,1,shit blow meclaim faithful somebody still fucking hoe face_with_tears_of_joy
6,3,0,3,0,1,sit hate another bitch got much shit going
7,3,0,3,0,1,cause tired big bitch coming u skinny girl
8,3,0,3,0,1,might get ya bitch back thats
9,3,1,2,0,1,hobby include fighting mariam bitch
10,3,0,3,0,1,keeks bitch curve everyone lol walked conversation like smh
11,3,0,3,0,1,murda gang bitch gang land
12,3,0,2,1,1,hoe smoke loser yea go ig
13,3,0,3,0,1,bad bitch thing like
14,3,1,2,0,1,bitch get
15,3,0,3,0,1,bitch nigga miss
16,3,0,3,0,1,bitch plz whatever
17,3,1,2,0,1,bitch love
18,3,0,3,0,1,bitch get cut everyday b
19,3,0,3,0,1,black bottle bad bitch
20,3,0,3,0,1,broke bitch cant tell nothing
21,3,0,3,0,1,cancel bitch like nino
22,3,0,3,0,1,cant see hoe wont change
23,3,0,3,0,1,fuck bitch dont even suck dick face_with_tears_of_joy kermit video bout fuck ig
24,3,0,3,0,1,got ya bitch tip toeing hardwood floor face_with_tears_of_joy
25,3,0,2,1,1,pussy lip like heaven door relieved_face
26,3,0,3,0,1,hoe hitting
27,3,0,3,0,1,met pussy ocean dr gave pussy pill relieved_face
28,3,0,3,0,1,need trippy bitch fuck hennessy
29,3,0,3,0,1,spend money want bitch business
30,3,0,3,0,1,txt old bitch new bitch pussy wetter
31,3,0,3,0,1,would say im back old old bitch would get excited relieved_face
32,3,0,3,0,1,aint bout murder game pussy nigga shut
33,3,0,3,0,1,toe aint done pussy stink
34,3,0,3,0,1,im done bitter bitch wrap angry bird there app
35,3,0,3,0,1,ya bitch
36,3,0,3,0,1,aint nothing cut bitch
37,3,0,3,0,1,jus meet son ya mane as bitch shot
38,3,0,2,1,1,lame cry hoe thats tear clown
39,3,0,3,0,1,like snoop said dont love hoe
40,3,0,1,2,2,momma said pussy cat inside doghouse
41,3,0,3,0,1,hated hoe favorite 2mw sevenone
42,3,0,3,0,1,nice girl bad make get naughty bad yello hoe real nice body south chick like em real thick
43,3,0,3,0,1,pimp pimp hoe future voice
44,3,0,3,0,1,post picture pussy get like
45,3,0,3,0,1,pussy powerful drug smiling_face_with_open_mouth_&_cold_sweat happyhumpday
46,3,0,3,0,1,quick piece pussy call drive
47,3,0,3,0,1,running round like brand new pussy thats bout get fucked
48,3,0,3,0,1,bitch even worst send guy
49,3,1,2,0,1,hoe like nigga spend money talk bout
50,3,1,2,0,1,dont trust nigga bitch
51,3,0,3,0,1,yall nigga b cuffing hoe cause yall aint never bitch
52,3,0,3,0,1,dodge bullet smiling_face_with_open_mouth_&_cold_sweat da bitch cut pregnant bound thank god folded_hands
53,3,0,3,0,1,young pill chamberlain bitch love music
54,3,0,2,1,1,face_with_tears_of_joy teanna trump probably cleaner twitter hoe
55,3,0,3,0,1,face_with_tears_of_joy gay nigga could wait act like bitch tonight
56,3,0,3,0,1,face_with_tears_of_joy ima steal cat n replace pitbull face_with_tears_of_joy rt bitch
57,3,0,3,0,1,gone always hoe
58,3,0,3,0,1,son bitch took tic tacs like movie
59,3,0,3,0,1,wan na get money fuck model bitch russell simmons
60,3,0,2,1,1,probably would mind school much deal bitch as teacher retweet
61,3,0,3,0,1,fucking fag said
62,3,0,3,0,1,female think dating pussy cute stuff make pussy
63,3,0,0,3,2,simplyaddictedtoguys woof hot scally lad
64,3,0,3,0,1,ya ever asked bitch bitch kanye voice yes
65,3,0,3,0,1,u gone bring ur side bitch game know ya gf friend weary_face swear
66,3,0,1,2,2,woof hot sol
67,3,0,1,2,2,lemmie eat oreo dish one oreo lol
68,3,0,3,0,1,bitch fuck u maybe get better
69,3,1,2,0,1,fuck red malone man bitch as niggah could please use complete sentence
70,3,0,0,3,2,eggplant emoji doey say looked like scream lmao
